target,loss,explainer,threshold,acc_test,n_molecule_scores,n_pairs
1DB4-8IN,MSE,gradinput,80,0.5322491496598639,784,419
1DB4-8IN,MSE,gradinput,85,0.5483703703703705,450,245
1DB4-8IN,MSE,gradinput,90,0.5746421267893662,163,96
1DB4-8IN,MSE,gradinput,95,0.5862068965517241,29,21
1DB4-8IN,MSE,ig,50,0.5002053102269436,4314,2200
1DB4-8IN,MSE,ig,55,0.5006798381110363,4232,2159
1DB4-8IN,MSE,ig,60,0.5023141644806678,4048,2067
1DB4-8IN,MSE,ig,65,0.5061086011154241,3665,1875
1DB4-8IN,MSE,ig,70,0.5225663716814155,2486,1283
1DB4-8IN,MSE,ig,75,0.5490441808492356,1385,726
1DB4-8IN,MSE,ig,80,0.5759778911564625,784,419
1DB4-8IN,MSE,ig,85,0.5918888888888889,450,245
1DB4-8IN,MSE,ig,90,0.6257668711656442,163,96
1DB4-8IN,MSE,ig,95,0.6896551724137931,29,21
1DB4-8IN,MSE,shap,50,0.5110526393671142,4314,2200
1DB4-8IN,MSE,shap,55,0.5116957753904542,4232,2159
1DB4-8IN,MSE,shap,60,0.5111476420209128,4048,2067
1DB4-8IN,MSE,shap,65,0.5119935468502996,3665,1875
1DB4-8IN,MSE,shap,70,0.5145855317918876,2486,1283
1DB4-8IN,MSE,shap,75,0.5133625580195981,1385,726
1DB4-8IN,MSE,shap,80,0.5198767006802727,784,419
1DB4-8IN,MSE,shap,85,0.5291481481481478,450,245
1DB4-8IN,MSE,shap,90,0.5020449897750511,163,96
1DB4-8IN,MSE,shap,95,0.4482758620689655,29,21
1DYR-TOP,MSE,cam,50,0.49879706092723847,169,85
1DYR-TOP,MSE,cam,55,0.4975450081833061,141,71
1DYR-TOP,MSE,cam,60,0.4936708860759494,79,40
1DYR-TOP,MSE,cam,65,0.49019607843137253,51,26
1DYR-TOP,MSE,cam,70,0.4857142857142857,35,18
1DYR-TOP,MSE,cam,75,0.46153846153846156,13,7
1DYR-TOP,MSE,cam,80,0.3333333333333333,3,2
1DYR-TOP,MSE,cam,85,0.0,1,1
1DYR-TOP,MSE,cam,90,,0,0
1DYR-TOP,MSE,cam,95,,0,0
1DYR-TOP,MSE,diff,50,0.6014535185393176,169,85
1DYR-TOP,MSE,diff,55,0.5981790077534761,141,71
1DYR-TOP,MSE,diff,60,0.5776910150327872,79,40
1DYR-TOP,MSE,diff,65,0.5757158418923126,51,26
1DYR-TOP,MSE,diff,70,0.5447959183673469,35,18
1DYR-TOP,MSE,diff,75,0.47161172161172166,13,7
1DYR-TOP,MSE,diff,80,0.6888888888888888,3,2
1DYR-TOP,MSE,diff,85,0.6666666666666666,1,1
1DYR-TOP,MSE,diff,90,,0,0
1DYR-TOP,MSE,diff,95,,0,0
1DYR-TOP,MSE,gradcam,50,0.5501620995703834,169,85
1DYR-TOP,MSE,gradcam,55,0.5547137850329339,141,71
1DYR-TOP,MSE,gradcam,60,0.5642231537801159,79,40
1DYR-TOP,MSE,gradcam,65,0.5521475256769375,51,26
1DYR-TOP,MSE,gradcam,70,0.5665306122448979,35,18
1DYR-TOP,MSE,gradcam,75,0.5754578754578754,13,7
1DYR-TOP,MSE,gradcam,80,0.6222222222222221,3,2
1DYR-TOP,MSE,gradcam,85,0.6666666666666666,1,1
1DYR-TOP,MSE,gradcam,90,,0,0
1DYR-TOP,MSE,gradcam,95,,0,0
1DYR-TOP,MSE,gradinput,50,0.550935389396928,169,85
1DYR-TOP,MSE,gradinput,55,0.5457185643355856,141,71
