target,explainer,acc_test_mcs50
2E9P-77A,gradcam,0.5396626332496665
2E9P-77A,gradinput,0.520286426210133
2E9P-77A,ig,0.592652837935594
2E9P-77A,shap,0.5340568046240376
2EI6-D92,cam,0.534573464989341
2EI6-D92,diff,0.6477871651899583
2EI6-D92,gradcam,0.5640342001014792
2EI6-D92,gradinput,0.5603428482887269
2EI6-D92,ig,0.5464373224780528
2EI6-D92,shap,0.5184579264313111
2ETM-7PY,cam,0.6338105881047057
2ETM-7PY,diff,0.6794017159311277
2ETM-7PY,gradcam,0.4940110543051719
2ETM-7PY,gradinput,0.4845434957199663
2ETM-7PY,ig,0.6185700443347504
2ETM-7PY,shap,0.526977355977356
2EUF-LQQ,cam,0.4972217127696255
2EUF-LQQ,diff,0.6278303430577558
2EUF-LQQ,gradcam,0.5312724031242457
2EUF-LQQ,gradinput,0.5618787131270486
2EUF-LQQ,ig,0.5989063526270574
2EUF-LQQ,shap,0.5283445763471314
2F3E-AXQ,cam,0.5047916666666666
2F3E-AXQ,diff,0.6290467555105714
2F3E-AXQ,gradcam,0.5626082032003084
2F3E-AXQ,gradinput,0.5643129786879786
2F3E-AXQ,ig,0.5843403033370139
2F3E-AXQ,shap,0.5228206588732904
2F89-210,cam,0.49523809523809526
2F89-210,diff,0.541857005428434
2F89-210,gradcam,0.40573421287707
2F89-210,gradinput,0.41495911495911497
2F89-210,ig,0.5272844087129801
2F89-210,shap,0.5116326530612244
2F8C-ZOL,cam,0.22058823529411764
2F8C-ZOL,diff,0.6012791538526833
2F8C-ZOL,gradcam,0.5015240070387129
2F8C-ZOL,gradinput,0.7616707638766461
2F8C-ZOL,ig,0.6451268094650446
2F8C-ZOL,shap,0.4874859617506677
2FME-3QC,cam,0.5094339622641509
2FME-3QC,diff,0.526774483378257
2FME-3QC,gradcam,0.6557053009883199
2FME-3QC,gradinput,0.5859389038634322
2FME-3QC,ig,0.6220575022461814
2FME-3QC,shap,0.5265498652291105
2FPT-ILB,cam,0.5212765957446809
2FPT-ILB,diff,0.5146361026680176
2FPT-ILB,gradcam,0.5679373522458628
2FPT-ILB,gradinput,0.6060579196217495
2FPT-ILB,ig,0.4835824045930429
2FPT-ILB,shap,0.4920845997973658
2FWZ-H71,cam,0.5038639876352395
2FWZ-H71,diff,0.5424534121211092
2FWZ-H71,gradcam,0.546901196862557
2FWZ-H71,gradinput,0.48718966933804647
2FWZ-H71,ig,0.5143547162094303
2FWZ-H71,shap,0.5280927384482252
2G19-4HG,cam,0.5106382978723404
2G19-4HG,diff,0.662805722646148
2G19-4HG,gradcam,0.5881640522597971
2G19-4HG,gradinput,0.46626677105400505
2G19-4HG,ig,0.597618368629007
2G19-4HG,shap,0.5137026980112086
2G1R-3IG,cam,0.5049239537494572
2G1R-3IG,diff,0.542545492886145
2G1R-3IG,gradcam,0.5189847430072115
2G1R-3IG,gradinput,0.4958172358511453
2G1R-3IG,ig,0.5559958997564526
2G1R-3IG,shap,0.500945266104094
2GM1-2AZ,cam,0.5050430189965074
2GM1-2AZ,diff,0.7080067864951586
2GM1-2AZ,gradcam,0.7058033052219098
2GM1-2AZ,gradinput,0.6917781185223045
2GM1-2AZ,ig,0.7072472101541869
2GM1-2AZ,shap,0.5324324899906295
2H8H-H8H,cam,0.510752688172043
2H8H-H8H,diff,0.5651685530717788
2H8H-H8H,gradcam,0.5360954606922349
2H8H-H8H,gradinput,0.5312592723883046
2H8H-H8H,ig,0.578544454350906
2H8H-H8H,shap,0.5224350171930817
2HXL-422,cam,0.5377232142857143
2HXL-422,diff,0.6779671717171716
2HXL-422,gradcam,0.668951231060606
2HXL-422,gradinput,0.5867119859307359
2HXL-422,ig,0.723434117965368
2HXL-422,shap,0.5998331529581529
2HYY-STI,cam,0.5042345191040843
2HYY-STI,diff,0.5625876559763354
2HYY-STI,gradcam,0.48282982784254824
2HYY-STI,gradinput,0.53792817890893
2HYY-STI,ig,0.45786267791376145
2HYY-STI,shap,0.525860720649656
2ICA-2IC,cam,0.5
2ICA-2IC,diff,0.6813234384662957
2ICA-2IC,gradcam,0.5404085497835497
