target,loss,explainer,normalization,mcs,global_dir_test,n_pairs
1CKP-PVB,MSE,gradcam,raw,75,0.8902439024390244,82
1CKP-PVB,MSE,gradcam,raw,80,0.8970588235294118,68
1CKP-PVB,MSE,gradcam,raw,85,0.8695652173913043,46
1CKP-PVB,MSE,gradcam,raw,90,0.7777777777777778,18
1CKP-PVB,MSE,gradcam,raw,95,0.0,2
1CKP-PVB,MSE,gradcam,l1,50,0.8551401869158879,214
1CKP-PVB,MSE,gradcam,l1,55,0.8591549295774648,213
1CKP-PVB,MSE,gradcam,l1,60,0.864321608040201,199
1CKP-PVB,MSE,gradcam,l1,65,0.8688524590163934,183
1CKP-PVB,MSE,gradcam,l1,70,0.8592592592592593,135
1CKP-PVB,MSE,gradcam,l1,75,0.8780487804878049,82
1CKP-PVB,MSE,gradcam,l1,80,0.8970588235294118,68
1CKP-PVB,MSE,gradcam,l1,85,0.8695652173913043,46
1CKP-PVB,MSE,gradcam,l1,90,0.7777777777777778,18
1CKP-PVB,MSE,gradcam,l1,95,0.0,2
1CKP-PVB,MSE,gradcam,signed_rank,50,0.6542056074766355,214
1CKP-PVB,MSE,gradcam,signed_rank,55,0.6572769953051644,213
1CKP-PVB,MSE,gradcam,signed_rank,60,0.6633165829145728,199
1CKP-PVB,MSE,gradcam,signed_rank,65,0.639344262295082,183
1CKP-PVB,MSE,gradcam,signed_rank,70,0.6296296296296297,135
1CKP-PVB,MSE,gradcam,signed_rank,75,0.6951219512195121,82
1CKP-PVB,MSE,gradcam,signed_rank,80,0.7058823529411765,68
1CKP-PVB,MSE,gradcam,signed_rank,85,0.6739130434782609,46
1CKP-PVB,MSE,gradcam,signed_rank,90,0.7222222222222222,18
1CKP-PVB,MSE,gradcam,signed_rank,95,0.0,2
1CKP-PVB,MSE+AC,gradcam,raw,50,0.8271028037383178,214
1CKP-PVB,MSE+AC,gradcam,raw,55,0.8309859154929577,213
1CKP-PVB,MSE+AC,gradcam,raw,60,0.8291457286432161,199
1CKP-PVB,MSE+AC,gradcam,raw,65,0.825136612021858,183
1CKP-PVB,MSE+AC,gradcam,raw,70,0.8296296296296296,135
1CKP-PVB,MSE+AC,gradcam,raw,75,0.8048780487804879,82
1CKP-PVB,MSE+AC,gradcam,raw,80,0.8088235294117647,68
1CKP-PVB,MSE+AC,gradcam,raw,85,0.782608695652174,46
1CKP-PVB,MSE+AC,gradcam,raw,90,0.7222222222222222,18
1CKP-PVB,MSE+AC,gradcam,raw,95,0.0,2
1CKP-PVB,MSE+AC,gradcam,l1,50,0.8130841121495327,214
1CKP-PVB,MSE+AC,gradcam,l1,55,0.8169014084507042,213
1CKP-PVB,MSE+AC,gradcam,l1,60,0.8190954773869347,199
1CKP-PVB,MSE+AC,gradcam,l1,65,0.8142076502732241,183
1CKP-PVB,MSE+AC,gradcam,l1,70,0.8148148148148148,135
